855977177	20190630	201906	2019	2019.4932	ARE	DUBAI	ARE								GOV	GOVERNMENT						GOV			1	130	130	13	3	-4.4	20	2	20	2.37792031462147	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190630	http://tradearabia.com/news/MISC_356080.html
855984793	20190630	201906	2019	2019.4932											IRN	IRAN	IRN								1	163	163	16	4	-8.0	2	1	2	-3.20404721753794	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Sardasht, Khuzestan, Iran	IR	IR15	31.3949	49.878	-3822950	20190630	https://www.firstpost.com/world/ball-in-europes-court-on-nuclear-deals-future-iranian-state-tv-6904791.html
855984794	20190630	201906	2019	2019.4932											IRN	IRAN	IRN								1	163	163	16	4	-8.0	6	1	6	-3.20404721753794	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190630	https://www.firstpost.com/world/ball-in-europes-court-on-nuclear-deals-future-iranian-state-tv-6904791.html
855996283	20190630	201906	2019	2019.4932	SOM	MOGADISHU	SOM								ARE	DUBAI	ARE								0	160	160	16	4	-4.0	6	1	6	-4.83558994197292	4	Mogadishu, Banaadir, Somalia	SO	SO02	2.06667	45.3667	-3227437	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Mogadishu, Banaadir, Somalia	SO	SO02	2.06667	45.3667	-3227437	20190630	http://www.hillaac.net/somalia-kenya-maritime-row-fuelled-by-business-interests/
856021944	20190630	201906	2019	2019.4932	BUS	BANK						BUS			GOVBUS	CENTRAL BANK						GOV	BUS		1	130	130	13	3	-4.4	10	1	10	-5.16129032258065	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190630	https://www.khaleejtimes.com/news/crime-and-courts/dont-respond-to-whatsapp-messages-from-uae-central-bank
856023717	20190630	201906	2019	2019.4932	BUS	AIRLINE						BUS			GOV	ADMINISTRATION						GOV			0	130	130	13	3	-4.4	2	1	2	-3.7751677852349	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Gulf Of Oman, Iran (general), Iran	IR	IR00	25.4489	57.7939	-3077385	4	Gulf Of Oman, Iran (general), Iran	IR	IR00	25.4489	57.7939	-3077385	20190630	https://www.kulr8.com/news/national/the-latest-trump-says-he-s-in-no-hurry-to/article_6adaff17-6084-55cd-bb7a-8920e6ffc656.html
856027553	20190630	201906	2019	2019.4932	ARE	UNITED ARAB EMIRATES	ARE								EGY	EGYPT	EGY								0	161	161	16	4	-4.0	8	2	8	-2.63939322692164	1	United Arab Emirates	AE	AE	24	54	AE	1	Egypt	EG	EG	27	30	EG	1	Egypt	EG	EG	27	30	EG	20190630	https://www.journalpioneer.com/business/qatar-buys-lebanese-bonds-as-part-of-500-million-investment-in-economy-328327/
856027565	20190630	201906	2019	2019.4932	BHR	BAHRAIN	BHR								EGY	EGYPT	EGY								0	161	161	16	4	-4.0	2	2	2	-2.63939322692164	1	United Arab Emirates	AE	AE	24	54	AE	1	Bahrain	BA	BA	26	50.5	BA	1	Egypt	EG	EG	27	30	EG	20190630	https://www.journalpioneer.com/business/qatar-buys-lebanese-bonds-as-part-of-500-million-investment-in-economy-328327/
856033153	20190630	201906	2019	2019.4932	ARE	UNITED ARAB EMIRATES	ARE																		0	160	160	16	4	-4.0	4	1	4	1.22358175750835	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190630	https://www.thesun.co.uk/news/9400461/princess-haya-bint-al-hussein-fled-dubai/
856033295	20190630	201906	2019	2019.4932	CVL	COMMUNITY						CVL			HIN	HINDU				HIN					0	163	163	16	4	-8.0	10	1	10	-1.94805194805195	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190630	https://www.financialexpress.com/india-news/up-woman-wants-her-child-narendra-damodardas-modi-to-be-rechristened-aftab-alam/1623716/
