864783940	20190809	201908	2019	2019.6000	MOS	MUSLIM				MOS					CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	24	4	24	-9.51498783873326	1	United Arab Emirates	AE	AE	24	54	AE	1	Bahrain	BA	BA	26	50.5	BA	1	Bahrain	BA	BA	26	50.5	BA	20190809	https://www.lockportjournal.com/opinion/foreign-countries-warn-about-travel-to-trump-s-u-s/article_c1246339-32a7-524f-bd02-83bd6196dc21.html
864783941	20190809	201908	2019	2019.6000	MOS	MUSLIM				MOS					CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	8	4	8	-9.51498783873326	1	United Kingdom	UK	UK	54	-4	UK	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190809	https://www.lockportjournal.com/opinion/foreign-countries-warn-about-travel-to-trump-s-u-s/article_c1246339-32a7-524f-bd02-83bd6196dc21.html
864794655	20190809	201908	2019	2019.6000	IND	KOCHI	IND								GOV	AUTHORITIES						GOV			1	160	160	16	4	-4.0	86	9	86	-4.67298598454655	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190809	https://english.sakshi.com/national/2019/08/09/kochi-airport-runway-flooded-all-flights-cancelled
864804517	20190809	201908	2019	2019.6000	ARE	UNITED ARAB EMIRATES	ARE								GBRGIB	GIBRALTAR	GBR								1	130	130	13	3	-4.4	2	1	2	-4.16666666666667	1	United Arab Emirates	AE	AE	24	54	AE	1	Gibraltar	GI	GI	36.133333	-5.35	GI	1	Gibraltar	GI	GI	36.133333	-5.35	GI	20190809	https://eurasiantimes.com/irans-disruptions-of-oil-shipments-irritating-india-china-the-few-remaining-allies-of-tehran/
864815598	20190809	201908	2019	2019.6000	IND	COCHIN	IND																		1	160	160	16	4	-4.0	6	1	6	-1.78571428571428	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	0							4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	20190809	https://www.khaleejtimes.com/uae/dubai/emirates-flights-to-kochi-diverted-due-to-heavy-rain
864820581	20190809	201908	2019	2019.6000	IRN	IRAN	IRN								SAU	SAUDI ARABIA	SAU								0	160	160	16	4	-4.0	4	2	4	-3.47047520152441	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Etemad, Ardabil, Iran	IR	IR32	39.2676	48.0226	-3769876	1	Saudi Arabia	SA	SA	25	45	SA	20190809	https://www.statesville.com/news/state/ap/uae-iran-hold-rare-talks-in-tehran-on-maritime-security/article_09bd9c31-30b7-58fd-9c26-03955bee191e.html
864828650	20190809	201908	2019	2019.6000	USA	THE US	USA								BUS	INDUSTRY						BUS			1	130	130	13	3	-4.4	10	1	10	-6.93512304250559	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190809	https://aawsat.com/english/home/article/1850491/us-warns-commercial-ships-trap-iran%E2%80%99s-communications-jamming
864865222	20190809	201908	2019	2019.6000	PAK	PAKISTAN	PAK								ARE	UNITED ARAB EMIRATES	ARE								0	161	161	16	4	-4.0	3	1	3	-1.53061224489796	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	20190809	https://timesofindia.indiatimes.com/city/surat/surats-kurtis-lehengas-wont-sell-in-pakistan-now/articleshow/70595437.cms
864865228	20190809	201908	2019	2019.6000	PAK	PAKISTAN	PAK								LKA	SRILANKA	LKA								0	161	161	16	4	-4.0	5	1	5	-1.53061224489796	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	20190809	https://timesofindia.indiatimes.com/city/surat/surats-kurtis-lehengas-wont-sell-in-pakistan-now/articleshow/70595437.cms
864903306	20190809	201908	2019	2019.6000	IRN	IRAN	IRN								ISR	ISRAEL	ISR								1	130	130	13	3	-4.4	22	8	22	-2.85912409046957	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190809	https://finance.yahoo.com/news/1-iran-says-external-military-160352925.html
