858355014	20190711	201907	2019	2019.5233	ARE	UNITED ARAB EMIRATES	ARE								ARECRM	UNITED ARAB EMIRATES	ARE					CRM			1	138	138	13	3	-7.0	2	1	2	-10.6617647058824	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190711	https://menafn.com/1098744212/Government-official-threatens-to-kill-exwife-in-Dubai
858355015	20190711	201907	2019	2019.5233	ARE	UNITED ARAB EMIRATES	ARE								ARECRM	UNITED ARAB EMIRATES	ARE					CRM			1	138	138	13	3	-7.0	6	1	6	-10.6617647058824	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190711	https://menafn.com/1098744212/Government-official-threatens-to-kill-exwife-in-Dubai
858356047	20190711	201907	2019	2019.5233	GOV	GOVERNMENT OFFICIAL						GOV			ARE	DUBAI	ARE								1	138	138	13	3	-7.0	10	1	10	-10.6617647058824	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190711	https://menafn.com/1098744212/Government-official-threatens-to-kill-exwife-in-Dubai
858356048	20190711	201907	2019	2019.5233	GOV	GOVERNMENT OFFICIAL						GOV			ARECRM	DUBAI	ARE					CRM			1	138	138	13	3	-7.0	2	1	2	-10.6617647058824	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190711	https://menafn.com/1098744212/Government-official-threatens-to-kill-exwife-in-Dubai
858357136	20190711	201907	2019	2019.5233	QAT	QATARI	QAT								ARE	UNITED ARAB EMIRATES	ARE								0	163	163	16	4	-8.0	30	4	30	3.59288801500488	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	1	United Arab Emirates	AE	AE	24	54	AE	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	20190711	https://menafn.com/1098744814/Qatar-US-agree-major-deals-as-emir-visits-DC
858357142	20190711	201907	2019	2019.5233	QAT	QATAR	QAT								BHR	BAHRAIN	BHR								0	163	163	16	4	-8.0	10	4	10	3.59288801500488	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	1	United Arab Emirates	AE	AE	24	54	AE	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	20190711	https://menafn.com/1098744814/Qatar-US-agree-major-deals-as-emir-visits-DC
858358596	20190711	201907	2019	2019.5233	ARE	UNITED ARAB EMIRATES	ARE								QAT	QATAR	QAT								0	161	161	16	4	-4.0	3	3	3	-0.32449991931353	1	United Arab Emirates	AE	AE	24	54	AE	1	Qatar	QA	QA	25.5	51.25	QA	1	United Arab Emirates	AE	AE	24	54	AE	20190711	https://www.washingtonpost.com/national-security/2019/07/10/d4e6cc58-a354-11e9-b8c8-75dae2607e60_story.html
858358597	20190711	201907	2019	2019.5233	ARE	UNITED ARAB EMIRATES	ARE								QAT	QATAR	QAT								0	161	161	16	4	-4.0	3	3	3	-0.32449991931353	1	United Arab Emirates	AE	AE	24	54	AE	1	Qatar	QA	QA	25.5	51.25	QA	1	Qatar	QA	QA	25.5	51.25	QA	20190711	https://www.washingtonpost.com/national-security/2019/07/10/d4e6cc58-a354-11e9-b8c8-75dae2607e60_story.html
858390537	20190711	201907	2019	2019.5233											BUS	BANK						BUS			1	130	130	13	3	-4.4	20	1	20	-2.97979797979798	0							4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190711	https://www.khaleejtimes.com/nation/fraud-alert-residents-warned-of-fake-bank-operating-in-uae-
858394202	20190704	201907	2019	2019.5041	IRNMIL	IRAN	IRN					MIL			GBR	BRITISH	GBR								1	138	138	13	3	-7.0	10	1	10	-7.38461538461538	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190711	https://news.yahoo.com/u-k-seizure-tanker-won-060508973.html
