784260121	20180904	201809	2018	2018.6685	BUS	EMPLOYER						BUS													1	130	130	13	3	-4.4	10	1	10	-5.00894454382827	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.khaleejtimes.com/legalview/Can-my-salary-be-deducted-for/-leaving-work-early-in-UAE-1-12-
784288665	20180904	201809	2018	2018.6685	ARE	DUBAI	ARE								CVL	RESIDENTS						CVL			1	130	130	13	3	-4.4	10	1	10	-3.38983050847458	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://gulfnews.com/news/uae/weather/warning-blowing-dust-poor-visibility-in-uae-1.2274351
784340980	20180904	201809	2018	2018.6685	ARE	DUBAI	ARE																		1	130	130	13	3	-4.4	12	2	12	-5.3766769865841	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.breakingnews.ie/ireland/gardai-issue-warning-over-dubai-broadband-scam-after-pensioner-duped-out-of-10k-866658.html
784340981	20180904	201809	2018	2018.6685	ARE	DUBAI	ARE								IRL	LIMERICK	IRL								1	130	130	13	3	-4.4	40	3	40	-5.64885931976374	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.breakingnews.ie/ireland/gardai-issue-warning-over-dubai-broadband-scam-after-pensioner-duped-out-of-10k-866658.html
784340982	20180904	201809	2018	2018.6685	ARE	DUBAI	ARE								USA	RALEIGH	USA								1	130	130	13	3	-4.4	14	2	14	-5.49019607843137	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.breakingnews.ie/ireland/gardai-issue-warning-over-dubai-broadband-scam-after-pensioner-duped-out-of-10k-866658.html
784363995	20180904	201809	2018	2018.6685	IRL	LIMERICK	IRL								ARE	DUBAI	ARE								1	130	130	13	3	-4.4	20	1	20	-5.17241379310345	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.irishtimes.com/news/crime-and-law/garda-warn-of-dubai-phone-scam-that-cheated-pensioner-out-of-10-000-1.3617926
784363996	20180904	201809	2018	2018.6685	IRL	LIMERICK	IRL								ARE	DUBAI	ARE								1	138	138	13	3	-7.0	20	1	20	-5.17241379310345	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.irishtimes.com/news/crime-and-law/garda-warn-of-dubai-phone-scam-that-cheated-pensioner-out-of-10-000-1.3617926
784366478	20180904	201809	2018	2018.6685	BUS	BUSINESS						BUS													0	130	130	13	3	-4.4	6	1	6	3.59168241965974	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	0							4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20180904	https://www.khaleejtimes.com/retail-solutions-get-digital-edge
784366487	20180904	201809	2018	2018.6685	BUS	BUSINESS						BUS			ARE	UNITED ARAB EMIRATES	ARE								0	130	130	13	3	-4.4	4	1	4	3.59168241965974	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20180904	https://www.khaleejtimes.com/retail-solutions-get-digital-edge
784393072	20180904	201809	2018	2018.6685	ARE	DUBAI	ARE								IRL	LIMERICK	IRL								1	138	138	13	3	-7.0	10	1	10	-6.73758865248227	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.irishtimes.com/news/crime-and-law/garda-warning-over-scam-in-which-pensioner-lost-10-000-1.3617926
784401031	20180904	201809	2018	2018.6685	IRL	LIMERICK	IRL																		1	130	130	13	3	-4.4	10	1	10	-8.04597701149425	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180904	https://www.limerickleader.ie/news/home/333771/limerick-gardai-issue-warning-as-elderly-man-duped-out-of-10-000-in-phone-scam.html
784431532	20180904	201809	2018	2018.6685	MOS	ISLAM				MOS					MOS	ISLAMIC				MOS					0	130	130	13	3	-4.4	5	1	5	-7.08092485549133	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20180904	https://www.khaleejtimes.com/news/crime/social-media-influencer-insults-emirati-actress-for-driving-car-along-with-saudi-women-
