859907189	20190718	201907	2019	2019.5425	USA	WASHINGTON	USA								ARE	UNITED ARAB EMIRATES	ARE								1	163	163	16	4	-8.0	26	11	26	-3.31643303215421	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Arab Emirates	AE	AE	24	54	AE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20190718	https://www.channelnewsasia.com/news/world/us-house-rejects-saudi-weapons-sales-11730732
859919050	20190718	201907	2019	2019.5425	LEG	HOUSE OF REPRESENTATIVES						LEG			ARE	UNITED ARAB EMIRATES	ARE								1	163	163	16	4	-8.0	4	2	4	-3.72685185185185	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	1	United Arab Emirates	AE	AE	24	54	AE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20190718	https://www.cnbc.com/2019/07/18/us-house-rejects-saudi-weapons-sales-trump-to-veto.html
859936531	20190718	201907	2019	2019.5425	IRN	IRAN	IRN								GOV	ADMINISTRATION						GOV			0	130	130	13	3	-4.4	2	1	2	-8.28402366863906	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	20190718	https://www.newsy.com/stories/house-votes-to-block-arms-sales-to-saudi-arabia/
859936532	20190718	201907	2019	2019.5425	IRN	IRAN	IRN								GOV	ADMINISTRATION						GOV			0	130	130	13	3	-4.4	8	1	8	-8.28402366863906	1	Iran	IR	IR	32	53	IR	1	United Arab Emirates	AE	AE	24	54	AE	1	Iran	IR	IR	32	53	IR	20190718	https://www.newsy.com/stories/house-votes-to-block-arms-sales-to-saudi-arabia/
859946281	20190718	201907	2019	2019.5425	USALEG	THE US	USA					LEG			ARE	UNITED ARAB EMIRATES	ARE								1	163	163	16	4	-8.0	8	5	8	-3.43645863655093	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	1	United Arab Emirates	AE	AE	24	54	AE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20190718	https://www.middleeastmonitor.com/20190718-us-house-rejects-saudi-weapons-sales-trump-to-veto/
859967121	20190718	201907	2019	2019.5425	ARE	UNITED ARAB EMIRATES	ARE																		1	130	130	13	3	-4.4	2	1	2	-10.9289617486339	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190718	http://www.daijiworld.com/news/newsDisplay.aspx?newsID=606493
859970250	20190718	201907	2019	2019.5425	LEG	HOUSE OF REPRESENTATIVES						LEG			ARE	UNITED ARAB EMIRATES	ARE								1	163	163	16	4	-8.0	8	1	8	-5.74412532637075	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190718	https://time.com/5629115/house-vote-saudi-arms-sales/
859991447	20190718	201907	2019	2019.5425	BUS	COMPANY						BUS													1	130	130	13	3	-4.4	5	1	5	-7.52688172043011	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190718	https://www.wandtv.com/news/over-pita-pal-hummus-products-recalled/article_15a4f8f8-a90b-11e9-831d-cfe9fc7210e0.html
860006947	20190718	201907	2019	2019.5425	GOV	PRESIDENT						GOV													0	131	131	13	3	-5.8	10	1	10	-6.79245283018868	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190718	https://21stcenturywire.com/2019/07/18/house-votes-to-block-arms-sales-to-saudi-arabia-uae/
860037754	20190718	201907	2019	2019.5425	LEG	HOUSE OF REPRESENTATIVES						LEG			ARE	UNITED ARAB EMIRATES	ARE								1	163	163	16	4	-8.0	6	1	6	-7.5098814229249	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190718	https://www.cnbc.com/2019/07/18/netflix-plunge-mnuchin-on-debt-limit-and-china-and-faceapp-backlash.html
